index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 93, 75, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 97, 78, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 17, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 96, 77, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 94, 75, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 94, 75, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 14, 3, 32760, 1450
2, NVIDIA RTX 5000 Ada Generation, 10, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 96, 77, 32760, 3859
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 5303
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
0, NVIDIA RTX 5000 Ada Generation, 99, 86, 32760, 5305
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
0, NVIDIA RTX 5000 Ada Generation, 98, 83, 32760, 5305
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
0, NVIDIA RTX 5000 Ada Generation, 100, 88, 32760, 5305
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1398
0, NVIDIA RTX 5000 Ada Generation, 98, 86, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1446
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 1, 0, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 93, 75, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 14, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 93, 77, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 94, 75, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 10, 2, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 14, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 16, 3, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 14, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3885
